address;postal_code;city;url
Hoofdweg 871;2131MB;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-toolenburg-24-7-76d9cca3d5e14c98afb8e28360172662.html
Lucas Bolsstraat 42;2152CZ;Nieuw-Vennep;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nieuw-vennep-lucas-bolsstraat-24-7-04f47fc139da4b82bfdcfd73d29215f6.html
Bernadottelaan 199;2037GP;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-bernadottelaan-056213a7020b4f0692bf14f9117630d3.html
Rode Ring 43;1566HR;Assendelft;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-assendelft-rode-ring-24-7-c445eb8003414c92906f38ccd1b6b422.html
Lange Tiendweg 4;3353CW;Papendrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-papendrecht-burg.-keijzerweg-24-7-9ed15995a3c9417b86501e41fbe7350d.html
Iersestraat 15;2912TH;Nieuwerkerk Aan Den Ijssel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nieuwerkerk-aan-den-ijssel-iersestraat-12e641621cbc42cea14a27ccbc6f77ae.html
Wagnerplein 3;5011LP;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-wagnerplein-714a258a842a4f0cb4690a2cafd84e50.html
Zwaagdijk 467A;1689PC;Hoorn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoorn-zwaagdijk-24-7-ea3cafdf57eb44e08105be6121ba3549.html
Ringbaan-Noord 97;5046AA;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-ringbaan-noord-24-7-4ad3f7c7618f4b65b6f93aa61be5ed5a.html
Vondelweg 540;2026BH;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-vondelweg-81a0214b435f458889082ce25c86e5ef.html
Reigerlaan 207-209;2903AE;Capelle Aan Den Ijssel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-capelle-aan-den-ijssel-koperwiek-24-7-d0cd3b6a4d3745d28b33a002f82a865e.html
Artemisstraat 6;5042XA;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-artemisstraat-24-7-865e9bced4db4eefb1bebdb574076e6d.html
Braakse Bosdijk 3;5703HZ;Helmond;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-helmond-braakse-bosdijk-24-7-53f8a3305cbd45bea1770cedfee57073.html
Bijdorplaan 15F;2015CE;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-bijdorplaan-0c24724d8dee486f8ad870bd5ac77f6b.html
Heuvelring 153;5038CJ;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-heuvel-24-7-645bde5a485648fea44e4056d13b317a.html
Korte Parallelweg 159;3311JN;Dordrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-dordrecht-korte-parallelweg-24-7-f0ff1359593b4c549ca4d4def345ea05.html
Gieterijstraat 30;2984AB;Ridderkerk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ridderkerk-gieterijstraat-24-7-4b73528258a14ced864f4be31a3306b6.html
Brussellaan 2H;5628TC;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-brussellaan-24-7-fa7f2e10fda040af8a2d524b963322f2.html
Vijfkamplaan 8;5624EB;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-sportpark-8c8a3f1c15c344f79d3cab36594c332e.html
Vijfkamplaan 6;5624EB;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-vijfkamplaan-24-7-ebd008f30fd44f65a32eb85594214f7c.html
Zuidsingel 8;5802EG;Venray;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-venray-zuidsingel-24-7-5ac14709cbf742d48e8216274552f11e.html
Ter Steeghe Ring 47;3331LX;Zwijndrecht;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwijndrecht-ter-steeghe-ring-24-7-d1932d4bbc7a4b939a778017b2ceb772.html
Duivendijk 1;5672AD;Nuenen;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nuenen-duivendijk-24-7-b8d4e3098bfb4a58958b2e2e1eec7e1f.html
Rakthof 6;5709EK;Helmond;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-helmond-rakthof-24-7-c465235a721f4a9f844c8fb04ac94a2c.html
Metaalhof 57;3067GM;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-metaalhof-ladies-76b3d7df5c494295bbe64a4513923006.html
Metaalhof 57;3067GM;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-metaalhof-24-7-cdfc109857654e59ba535c9639be2efa.html
Spaubeekstraat 89C;5035JV;Tilburg;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-tilburg-spaubeekstraat-24-7-b4070384ebd54596bc27ed0bc8bdcb3b.html
Beneluxweg 5;4904SJ;Oosterhout;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-oosterhout-beneluxweg-24-7-edbe663f186d4871b5476cec5abda5e6.html
Industrieweg 11a;7944HT;Meppel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-meppel-industrieweg-24-7-dbaaeac036144150bbec1d521d9d8a4b.html
Koraalrood 70-90;2718SC;Zoetermeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zoetermeer-koraalrood-24-7-59e9d2906b694eec8e5129a9a8a01752.html
C. van der Doesstraat 22 1e Etage;1972AT;Ijmuiden;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-ijmuiden-c.-van-der-doesstraat-24-7-43b31772760e44359670bb8c56d2343d.html
Burgemeester van Leeuwenpassage 18;2711JV;Zoetermeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zoetermeer-burgemeester-van-leeuwenpassage-24-7-ef42f7c279d041eda04b2bb1fef235f3.html
Groenplein 2;7604BG;Almelo;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almelo-groenplein-24-7-7c63d60aed124bf3b0848d98bd2e1f1f.html
Dwarsdijk 78;3078JD;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-ijsselmonde-dwarsdijk-24-7-6069c34299a444dea278429b7b99a025.html
Kerkweg 221;1964KJ;Heemskerk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-heemskerk-kerkweg-24-7-7c7c4c3f7a2b4341a4ac1d85fa07694b.html
Blankenstein 275;7943PG;Meppel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-meppel-blankenstein-24-7-192a94a82bcf43a1928fff38b6484e62.html
Van Riemsdijkplein 34;7606ZA;Almelo;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-almelo-stadionlaan-24-7-b4edbefa481c4f328bdccce48d1451cb.html
Fabriekstraat 24;5753AH;Deurne;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-deurne-fabriekstraat-24-7-569a5e1109684d0fbe71961ee0f913df.html
1e Jerichostraat 18-20;3061GE;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-1e-jerichostraat-4ee84e882c0d43f58fe4dac1e71970c7.html
Stadionplein (ingang 18) 2;5616RX;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-philips-stadion-bb14278febde44509ff14acaad2ba1bb.html
Nieuwstraat 23;2651CG;Berkel En Rodenrijs;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-berkel-en-rodenrijs-nieuwstraat-24-7-0baa1b513de94387b07752255a36f858.html
Rijksboom 4;3071AX;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-rijksboom-157027d7778b4483bf596442c98c3c0c.html
Limburglaan 36;5652AA;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-limburglaan-24-7-fb77e9bc33214a63bb3854c8eeb5320e.html
Aalsterweg 135;5644RA;Eindhoven;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-eindhoven-aalsterweg-24-7-55ceacc9b7f94b15b25eb0f1cfbd47d3.html
Ambachtsweg 7B;2222AH;Katwijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-katwijk-ambachtsweg-24-7-ae7bb33eab5f4a7e9da53a235cfe9602.html
Lijnbaan 45;3012EK;Rotterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-rotterdam-lijnbaan-24-7-6ef5e46e24994cc5abcd79523d3f1303.html
